PAD,ASIC,Channel,Channeltype
1,0,19,0
2,0,20,0
3,0,18,0
4,0,16,0
5,0,17,0
6,0,15,0
7,1,52,0
8,1,49,0
9,1,53,0
10,1,56,0
11,1,54,0
12,1,55,0
13,0,22,0
14,0,24,0
15,0,21,0
16,0,12,0
17,0,14,0
18,0,13,0
19,1,48,0
20,1,50,0
21,1,51,0
22,1,60,0
23,1,58,0
24,1,57,0
25,5,55,0
26,0,23,0
27,0,26,0
28,0,25,0
29,0,10,0
30,0,0,1
31,0,11,0
32,0,9,0
33,1,46,0
34,1,47,0
35,1,45,0
36,1,62,0
37,1,1,1
38,1,59,0
39,1,61,0
40,5,54,0
41,5,57,0
42,0,29,0
43,0,27,0
44,0,28,0
45,0,7,0
46,0,5,0
47,0,8,0
48,1,43,0
49,1,41,0
50,1,44,0
51,1,63,0
52,1,65,0
53,1,64,0
54,5,56,0
55,5,58,0
56,5,61,0
57,0,32,0
58,0,33,0
59,0,30,0
60,0,1,0
61,0,4,0
62,0,6,0
63,1,37,0
64,1,40,0
65,1,42,0
66,1,69,0
67,1,68,0
68,1,66,0
69,5,53,0
70,5,60,0
71,5,59,0
72,5,64,0
73,0,34,0
74,0,35,0
75,0,31,0
76,0,0,0
77,0,2,0
78,0,3,0
79,1,36,0
80,1,38,0
81,1,39,0
82,1,71,0
83,1,70,0
84,1,67,0
85,5,49,0
86,5,51,0
87,5,62,0
88,5,1,1
89,5,65,0
90,5,66,0
91,0,67,0
92,0,70,0
93,0,71,0
94,0,39,0
95,0,38,0
96,0,36,0
97,1,3,0
98,1,2,0
99,1,0,0
100,1,31,0
101,1,35,0
102,1,34,0
103,5,52,0
104,5,50,0
105,5,45,0
106,5,63,0
107,5,68,0
108,5,67,0
109,0,66,0
110,0,68,0
111,0,69,0
112,0,42,0
113,0,40,0
114,0,37,0
115,1,6,0
116,1,4,0
117,1,1,0
118,1,30,0
119,1,33,0
120,1,32,0
121,4,15,0
122,5,48,0
123,5,47,0
124,5,44,0
125,5,69,0
126,5,70,0
127,5,34,0
128,0,64,0
129,0,65,0
130,0,63,0
131,0,44,0
132,0,41,0
133,0,43,0
134,1,8,0
135,1,5,0
136,1,7,0
137,1,28,0
138,1,27,0
139,1,29,0
140,4,17,0
141,4,13,0
142,5,46,0
143,5,41,0
144,5,42,0
145,5,71,0
146,5,35,0
147,5,32,0
148,0,61,0
149,0,59,0
150,0,62,0
151,0,1,1
152,0,45,0
153,0,47,0
154,0,46,0
155,1,9,0
156,1,11,0
157,1,10,0
158,1,0,1
159,1,25,0
160,1,26,0
161,1,23,0
162,4,16,0
163,4,14,0
164,4,9,0
165,5,43,0
166,5,40,0
167,5,39,0
168,5,31,0
169,5,33,0
170,5,29,0
171,0,57,0
172,0,58,0
173,0,60,0
174,0,51,0
175,0,50,0
176,0,48,0
177,1,13,0
178,1,14,0
179,1,12,0
180,1,21,0
181,1,24,0
182,1,22,0
183,4,18,0
184,4,12,0
185,4,11,0
186,4,8,0
187,5,37,0
188,5,38,0
189,5,0,0
190,5,30,0
191,5,27,0
192,5,23,0
193,0,55,0
194,0,54,0
195,0,56,0
196,0,53,0
197,0,49,0
198,0,52,0
199,1,15,0
200,1,17,0
201,1,16,0
202,1,18,0
203,1,20,0
204,1,19,0
205,4,20,0
206,4,21,0
207,4,10,0
208,4,0,1
209,4,5,0
210,4,6,0
211,5,36,0
212,5,2,0
213,5,1,0
214,5,28,0
215,5,26,0
216,5,22,0
217,2,55,0
218,2,57,0
219,2,61,0
220,2,64,0
221,2,66,0
222,2,67,0
223,2,34,0
224,2,32,0
225,2,29,0
226,2,23,0
227,2,22,0
228,2,19,0
229,4,19,0
230,4,24,0
231,4,25,0
232,4,7,0
233,4,4,0
234,4,3,0
235,5,3,0
236,5,4,0
237,5,7,0
238,5,25,0
239,5,24,0
240,5,19,0
241,2,54,0
242,2,58,0
243,2,59,0
244,2,65,0
245,2,68,0
246,2,70,0
247,2,35,0
248,2,33,0
249,2,27,0
250,2,26,0
251,2,24,0
252,2,20,0
253,4,22,0
254,4,26,0
255,4,28,0
256,4,1,0
257,4,2,0
258,4,36,0
259,5,6,0
260,5,5,0
261,5,10,0
262,5,0,1
263,5,21,0
264,5,20,0
265,2,56,0
266,2,60,0
267,2,62,0
268,2,1,1
269,2,63,0
270,2,69,0
271,2,71,0
272,2,31,0
273,2,30,0
274,2,28,0
275,2,25,0
276,2,21,0
277,2,18,0
278,4,23,0
279,4,27,0
280,4,30,0
281,4,0,0
282,4,38,0
283,4,37,0
284,5,8,0
285,5,11,0
286,5,12,0
287,5,18,0
288,2,53,0
289,2,51,0
290,2,45,0
291,2,44,0
292,2,42,0
293,2,39,0
294,2,0,0
295,2,1,0
296,2,7,0
297,2,10,0
298,2,0,1
299,2,12,0
300,2,16,0
301,4,29,0
302,4,33,0
303,4,31,0
304,4,39,0
305,4,40,0
306,4,43,0
307,5,9,0
308,5,14,0
309,5,16,0
310,2,49,0
311,2,50,0
312,2,47,0
313,2,41,0
314,2,40,0
315,2,38,0
316,2,2,0
317,2,4,0
318,2,5,0
319,2,11,0
320,2,14,0
321,2,17,0
322,4,32,0
323,4,35,0
324,4,71,0
325,4,42,0
326,4,41,0
327,4,46,0
328,5,13,0
329,5,17,0
330,2,52,0
331,2,48,0
332,2,46,0
333,2,43,0
334,2,37,0
335,2,36,0
336,2,3,0
337,2,6,0
338,2,8,0
339,2,9,0
340,2,13,0
341,2,15,0
342,4,34,0
343,4,70,0
344,4,69,0
345,4,44,0
346,4,47,0
347,4,48,0
348,5,15,0
349,3,15,0
350,3,13,0
351,3,9,0
352,3,8,0
353,3,6,0
354,3,3,0
355,3,36,0
356,3,37,0
357,3,43,0
358,3,46,0
359,3,48,0
360,3,52,0
361,4,67,0
362,4,68,0
363,4,63,0
364,4,45,0
365,4,50,0
366,4,52,0
367,3,17,0
368,3,14,0
369,3,11,0
370,3,5,0
371,3,4,0
372,3,2,0
373,3,38,0
374,3,40,0
375,3,41,0
376,3,47,0
377,3,50,0
378,3,49,0
379,4,66,0
380,4,65,0
381,4,62,0
382,4,1,1
383,4,51,0
384,4,49,0
385,3,16,0
386,3,12,0
387,3,10,0
388,3,0,1
389,3,7,0
390,3,1,0
391,3,0,0
392,3,39,0
393,3,42,0
394,3,44,0
395,3,45,0
396,3,51,0
397,3,53,0
398,4,64,0
399,4,59,0
400,4,60,0
401,4,53,0
402,3,18,0
403,3,21,0
404,3,25,0
405,3,28,0
406,3,30,0
407,3,31,0
408,3,71,0
409,3,69,0
410,3,63,0
411,3,62,0
412,3,1,1
413,3,60,0
414,3,56,0
415,4,61,0
416,4,58,0
417,4,56,0
418,3,20,0
419,3,24,0
420,3,26,0
421,3,27,0
422,3,33,0
423,3,35,0
424,3,70,0
425,3,68,0
426,3,65,0
427,3,59,0
428,3,58,0
429,3,54,0
430,4,57,0
431,4,54,0
432,3,19,0
433,3,22,0
434,3,23,0
435,3,29,0
436,3,32,0
437,3,34,0
438,3,67,0
439,3,66,0
440,3,64,0
441,3,61,0
442,3,57,0
443,3,55,0
444,4,55,0
-1,0,0,100
-2,0,1,100
-3,0,2,100
-4,0,3,100
-5,1,0,100
-6,1,1,100
-7,1,2,100
-8,1,3,100
-9,2,0,100
-10,2,1,100
-11,2,2,100
-12,2,3,100
-13,3,0,100
-14,3,1,100
-15,3,2,100
-16,3,3,100
-17,4,0,100
-18,4,1,100
-19,4,2,100
-20,4,3,100
-21,5,0,100
-22,5,1,100
-23,5,2,100
-24,5,3,100
