PAD,Channel,Channeltype,Location,Which
1,33,0,Corner,0
8,6,0,Corner,6
18,61,0,Corner,1
95,33,0,Corner,7
111,32,0,Corner,2
189,5,0,Corner,8
197,57,0,Corner,3
191,29,0,Corner,9
190,31,0,Corner,4
96,11,0,Corner,10
81,70,0,Corner,5
9,35,0,Corner,11
3,21,0,Edges,0
5,14,0,Edges,6
39,67,0,Edges,1
65,29,0,Edges,7
140,21,0,Edges,2
168,16,0,Edges,8
195,68,0,Edges,3
193,66,0,Edges,9
169,23,0,Edges,4
141,21,0,Edges,10
52,67,0,Edges,5
29,29,0,Edges,11
22,25,0,Middle,0
24,10,0,Middle,6
49,57,0,Middle,1
78,71,0,Middle,7
124,25,0,Middle,2
152,9,0,Middle,8
175,50,0,Middle,3
173,59,0,Middle,9
158,34,0,Middle,4
129,15,0,Middle,10
68,57,0,Middle,5
42,59,0,Middle,11
45,36,0,Point,0
76,52,0,Point,1
122,40,0,Point,2
148,48,0,Point,3
131,36,0,Point,4
71,52,0,Point,5
88,46,0,Center,0
